"source_query","normalized_query","topic","intent","funnel_stage","sources","brand_flag","negative_flag","reject_reason","manual_review","wordstat_broad","wordstat_phrase","wordstat_region","wordstat_operator_broad","wordstat_operator_phrase","wordstat_period_start","wordstat_period_end","wordstat_captured_at","serp_observed","serp_engines","serp_region","serp_captured_at","notes"
"единое окно для обращений клиентов","единое окно для обращений клиентов","category","solution_discovery","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Единое окно может означать государственные и логистические сервисы"
"омниканальная поддержка клиентов","омниканальная поддержка клиентов","channel","solution_discovery","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Текущий title главной; проверить каннибализацию до выбора URL"
"омниканальная платформа поддержки","омниканальная платформа поддержки","channel","commercial_investigation","consideration","seed:product_requirements","false","false","","false","","","","","","","","","false","","","","Платформенная формулировка для объединения каналов"
"поддержка клиентов из разных каналов","поддержка клиентов из разных каналов","channel","solution_discovery","awareness","seed:current_site","false","false","","false","","","","","","","","","false","","","","Проблемная формулировка из тарифных преимуществ"
"обращения из разных каналов в одном окне","обращения из разных каналов в одном окне","channel","solution_discovery","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Соответствует shared inbox и единой очереди"
"обращения из мессенджеров в одном окне","обращения из мессенджеров в одном окне","channel","solution_discovery","consideration","seed:market_language:happydesk.ru","false","false","","false","","","","","","","","","false","","","","Рыночная лексика объединения мессенджеров"
"чат поддержки для сайта","чат поддержки для сайта","channel","commercial_investigation","consideration","seed:current_site|wordstat-frequency-snapshot.csv|03-serp-snapshots-partial.csv","false","false","","true","158","4","Все регионы","broad","phrase","2026-07-07","2026-08-05","2026-08-07","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Целевой сценарий Web SDK и оператора Релевантный канал с конкурентной выдачей онлайн-чатов Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"онлайн чат поддержки для сайта","онлайн чат поддержки для сайта","channel","commercial_investigation","consideration","seed:market_language:jivo.ru","false","false","","true","","","","","","","","","false","","","","В выдаче вероятна смесь sales-чата и клиентской поддержки"
"виджет поддержки на сайт","виджет поддержки на сайт","channel","commercial_investigation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Соответствует встраиваемому Web SDK"
"поддержка клиентов в telegram","поддержка клиентов в telegram","channel","solution_discovery","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Канал работает через Telegram-бота"
"telegram бот для поддержки клиентов","telegram бот для поддержки клиентов","channel","commercial_investigation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Отделить от разработки заказного бота как услуги"
"поддержка клиентов во вконтакте","поддержка клиентов во вконтакте","channel","solution_discovery","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Проверить написания ВК и VK и интент поддержки сообщества"
"бот вконтакте для поддержки клиентов","бот вконтакте для поддержки клиентов","channel","commercial_investigation","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Может пересекаться с конструкторами маркетинговых ботов"
"поддержка клиентов в max","поддержка клиентов в max","channel","solution_discovery","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Новая лексика; исключить запросы в поддержку самого MAX"
"бот в max для поддержки клиентов","бот в max для поддержки клиентов","channel","commercial_investigation","consideration","seed:market_language:leaderchat.ru","false","false","","true","","","","","","","","","false","","","","Проверить спрос и неоднозначность названия MAX"
"автоматизация клиентской поддержки","автоматизация клиентской поддержки","automation","solution_discovery","consideration","seed:market_language:happydesk.ru|wordstat-frequency-snapshot.csv|03-serp-snapshots-partial.csv","false","false","","false","24","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Широкая продуктовая задача автоматизации Релевантная продуктовая задача Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"автоматизация службы поддержки","автоматизация службы поддержки","automation","solution_discovery","consideration","seed:product_requirements","false","false","","false","","","","","","","","","false","","","","Операционный вариант формулировки"
"ии бот для поддержки клиентов","ии бот для поддержки клиентов","automation","commercial_investigation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Основная продуктовая гипотеза AI-бота"
"ai бот поддержки","ai бот поддержки","automation","commercial_investigation","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Короткая смешанная формулировка; возможен B2C-интент"
"чат бот с ии для поддержки клиентов","чат бот с ии для поддержки клиентов","automation","commercial_investigation","consideration","seed:market_language:botsaas.io","false","false","","false","","","","","","","","","false","","","","Рыночная формулировка AI-чат-бота"
"ии агент для клиентской поддержки","ии агент для клиентской поддержки","automation","commercial_investigation","consideration","seed:market_language:aixis.ru","false","false","","false","","","","","","","","","false","","","","Современный рыночный термин AI support agent"
"бот первой линии поддержки","бот первой линии поддержки","automation","solution_discovery","consideration","seed:market_language:leaderchat.ru|wordstat-frequency-snapshot.csv","false","false","","false","4","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Соответствует сценарию ответа до оператора Релевантный сценарий автоматизации первой линии Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"автоматизация первой линии поддержки","автоматизация первой линии поддержки","automation","solution_discovery","consideration","seed:market_language:aixis.ru","false","false","","false","","","","","","","","","false","","","","Задача снижения ручной нагрузки первой линии"
"бот поддержки по базе знаний","бот поддержки по базе знаний","automation","feature_evaluation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Соответствует подключаемым источникам знаний"
"передача диалога от бота оператору","передача диалога от бота оператору","automation","feature_evaluation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Сценарий handoff с контекстом"
"конструктор ботов для поддержки","конструктор ботов для поддержки","automation","commercial_investigation","consideration","seed:product_requirements","false","false","","true","","","","","","","","","false","","","","Может пересекаться с универсальными конструкторами чат-ботов"
"контроль sla поддержки","контроль sla поддержки","operations","solution_discovery","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Публично подтверждённый операционный сценарий"
"управление sla обращений","управление sla обращений","operations","feature_evaluation","consideration","seed:product_requirements","false","false","","true","","","","","","","","","false","","","","Проверить решение против информационных материалов об SLA"
"контроль времени первого ответа","контроль времени первого ответа","operations","solution_discovery","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Показатель и отчёт доступны в продукте"
"распределение обращений между операторами","распределение обращений между операторами","operations","solution_discovery","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Публичная формулировка функции маршрутизации"
"автоматическое назначение обращений","автоматическое назначение обращений","operations","feature_evaluation","consideration","seed:product_requirements","false","false","","false","","","","","","","","","false","","","","Соответствует автоматической маршрутизации очереди"
"управление очередью поддержки","управление очередью поддержки","operations","solution_discovery","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Соответствует рабочему месту смены"
"единая очередь обращений","единая очередь обращений","operations","solution_discovery","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Может пересекаться с электронными очередями и госуслугами"
"контроль нагрузки операторов поддержки","контроль нагрузки операторов поддержки","operations","solution_discovery","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Соответствует лимитам и загрузке операторов"
"панель руководителя службы поддержки","панель руководителя службы поддержки","operations","feature_evaluation","consideration","seed:product_requirements","false","false","","true","","","","","","","","","false","","","","Проверить наличие самостоятельного коммерческого intent"
"аналитика службы поддержки","аналитика службы поддержки","operations","feature_evaluation","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Возможна информационная выдача и шаблоны метрик"
"контроль качества ответов операторов","контроль качества ответов операторов","operations","solution_discovery","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Соответствует ручным и AI-проверкам качества"
"отчеты по обращениям клиентов","отчеты по обращениям клиентов","operations","feature_evaluation","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Может быть информационным запросом про шаблоны отчётов"
"api службы поддержки","api службы поддержки","integration","integration_evaluation","consideration","seed:current_site|wordstat-frequency-snapshot.csv|03-serp-snapshots-partial.csv","false","false","","true","37","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Соответствует публичной API-документации Технический запрос, SERP должен подтвердить коммерческий или документационный intent Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"helpdesk api","helpdesk api","integration","integration_evaluation","consideration","seed:market_language:helpdesk.com","false","false","","true","","","","","","","","","false","","","","Англоязычная краткая форма; проверить российский спрос"
"webhook helpdesk","webhook helpdesk","integration","integration_evaluation","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Технический низкочастотный intent без оценки частотности"
"web sdk чат поддержки","web sdk чат поддержки","integration","integration_evaluation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Соответствует готовому Web SDK"
"интеграция helpdesk с crm","интеграция helpdesk с crm","integration","integration_evaluation","consideration","seed:market_language:okdesk.ru","false","false","","true","","","","","","","","","false","","","","Интеграция с конкретной CRM не заявляется; нужен общий intent review"
"интеграция telegram с helpdesk","интеграция telegram с helpdesk","integration","integration_evaluation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Связывает подтверждённый канал с категорией продукта"
"интеграция вк с helpdesk","интеграция вк с helpdesk","integration","integration_evaluation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Связывает сообщения сообщества с общей очередью"
"open channel для поддержки","open channel для поддержки","integration","integration_evaluation","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Технический термин может быть непонятен вне документации"
"встраиваемый чат поддержки api","встраиваемый чат поддержки api","integration","integration_evaluation","consideration","seed:current_site","false","false","","true","","","","","","","","","false","","","","Проверить естественность формулировки и пересечение с Web SDK"
"система поддержки клиентов цена","система поддержки клиентов цена","commercial_modifiers","transactional","decision","seed:research_plan","false","false","","false","","","","","","","","","false","","","","Ценовой модификатор категории"
"helpdesk тарифы","helpdesk тарифы","commercial_modifiers","transactional","decision","seed:current_site","false","false","","false","","","","","","","","","false","","","","Ценовой intent; проверить латиницу и кириллицу"
"стоимость helpdesk для бизнеса","стоимость helpdesk для бизнеса","commercial_modifiers","transactional","decision","seed:market_language:helpdesk.com","false","false","","false","","","","","","","","","false","","","","Стоимость по B2B-сценарию"
"купить helpdesk систему","купить helpdesk систему","commercial_modifiers","transactional","decision","seed:research_plan","false","false","","true","","","","","","","","","false","","","","Для SaaS слово купить может проигрывать подписке"
"helpdesk для малого бизнеса","helpdesk для малого бизнеса","commercial_modifiers","commercial_investigation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Соответствует диапазону команд и бесплатному старту"
"helpdesk для компании","helpdesk для компании","commercial_modifiers","commercial_investigation","consideration","seed:research_plan","false","false","","true","","","","","","","","","false","","","","Широкий B2B-модификатор без сегмента"
"внедрение системы поддержки клиентов","внедрение системы поддержки клиентов","commercial_modifiers","transactional","decision","seed:research_plan","false","false","","true","","","","","","","","","false","","","","Возможна выдача интеграторов и услуг внедрения"
"бесплатный helpdesk для одного оператора","бесплатный helpdesk для одного оператора","commercial_modifiers","transactional","decision","seed:current_site","false","false","","false","","","","","","","","","false","","","","Соответствует Free для одного владельца-оператора"
"support communication тарифы","support communication тарифы","commercial_modifiers","navigational","decision","seed:current_site","own","false","","false","","","","","","","","","false","","","","Собственный брендовый запрос"
"support communication платформа поддержки","support communication платформа поддержки","commercial_modifiers","navigational","consideration","seed:current_site","own","false","","false","","","","","","","","","false","","","","Собственный брендовый запрос категории"
"аналог usedesk","аналог usedesk","commercial_modifiers","comparative_commercial","decision","seed:research_plan","competitor","false","","true","","","","","","","","","false","","","","Сравнительный брендовый кластер; не использовать без отдельного Gate"
"альтернатива jivo для поддержки","альтернатива jivo для поддержки","commercial_modifiers","comparative_commercial","decision","seed:research_plan","competitor","false","","true","","","","","","","","","false","","","","Сравнительный брендовый кластер; проверить правовые и редакционные риски"
"helpdesk","helpdesk","category","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","2361","4","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","false","","","","Широкий термин категории, не считать broad прогнозом трафика"
"helpdesk система","helpdesk система","category","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","26","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Неестественный порядок слов, проверить выдачу отдельно Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"telegram поддержка клиентов","telegram поддержка клиентов","channel","solution_discovery","consideration","wordstat-frequency-snapshot.csv","false","false","","true","14","0","Россия","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Проверить смешение канального решения и поддержки самого Telegram"
"виджет обратной связи","виджет обратной связи","channel","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","543","14","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","false","","","","Может означать форму лидогенерации без операторской поддержки"
"виджет чата для сайта","виджет чата для сайта","channel","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","false","39","3","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","false","","","","Релевантный вариант Web SDK"
"единое окно поддержки клиентов","единое окно поддержки клиентов","channel","solution_discovery","consideration","wordstat-frequency-snapshot.csv","false","false","","true","5","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Проверить примесь непрофильных значений единого окна Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"ии бот поддержки","ии бот поддержки","automation","commercial_investigation","consideration","wordstat-frequency-snapshot.csv|03-serp-snapshots-partial.csv","false","false","","true","340","17","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Релевантная короткая формулировка AI-бота"
"контроль sla","контроль sla","operations","informational_commercial","awareness","wordstat-frequency-snapshot.csv|03-serp-snapshots-partial.csv","false","false","","true","242","36","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","SERP преимущественно информационный, solution page не предполагается автоматически"
"контроль операторов поддержки","контроль операторов поддержки","operations","solution_discovery","consideration","wordstat-frequency-snapshot.csv","false","false","","true","33","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Проверить смешение контроля качества и контроля персонала Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"омниканальная поддержка","омниканальная поддержка","channel","informational_commercial","awareness","wordstat-frequency-snapshot.csv|03-serp-snapshots-partial.csv","false","false","","true","14","3","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","SERP смешивает гайды и solution pages"
"онлайн чат для сайта","онлайн чат для сайта","channel","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","199","52","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","false","","","","Вероятна смесь поддержки и sales-чата"
"программа для операторов поддержки","программа для операторов поддержки","category","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","60","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Проверить B2B software intent Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"программа для службы поддержки","программа для службы поддержки","category","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","false","148","1","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","false","","","","Релевантный синоним категории"
"программа клиентской поддержки","программа клиентской поддержки","category","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","17","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Проверить естественность формулировки Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"распределение обращений клиентов","распределение обращений клиентов","operations","solution_discovery","consideration","wordstat-frequency-snapshot.csv","false","false","","true","31","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Более точный операционный вариант общего запроса Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"сервис для работы с обращениями","сервис для работы с обращениями","category","solution_discovery","consideration","wordstat-frequency-snapshot.csv","false","false","","true","41","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Возможна смесь CRM и систем обращений граждан Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"система helpdesk","система helpdesk","category","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","26","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Смешанная русско-английская формулировка Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"система заявок","система заявок","category","solution_discovery","awareness","wordstat-frequency-snapshot.csv","false","true","Слишком широкий запрос: заявки могут быть ITSM, CRM, задачами или государственными обращениями","true","12119","29","Все регионы","broad","phrase","2026-07-07","2026-08-05","2026-08-07","false","","","","Не использовать как целевой кластер без нового SERP-среза Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"система работы с обращениями клиентов","система работы с обращениями клиентов","category","solution_discovery","consideration","wordstat-frequency-snapshot.csv","false","false","","true","18","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Релевантно при подтверждении B2B helpdesk intent Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"система учета обращений","система учета обращений","category","solution_discovery","consideration","wordstat-frequency-snapshot.csv","false","false","","true","755","3","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","false","","","","Без слова клиенты возможна примесь государственных обращений"
"телеграм бот поддержки клиентов","телеграм бот поддержки клиентов","automation","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","2","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Кириллический вариант канального бота Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"чат бот для поддержки клиентов","чат бот для поддержки клиентов","automation","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","60","0","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","false","","","","Проверить дефис и наличие AI-intent"
"чат для сайта","чат для сайта","channel","commercial_investigation","consideration","wordstat-frequency-snapshot.csv","false","false","","true","3432","129","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","false","","","","Высокая неоднозначность между поддержкой и продажами"
"helpdesk для бизнеса","helpdesk для бизнеса","category","commercial_investigation","consideration","03-serp-snapshots-partial.csv","false","false","","true","","","","","","","","","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Латинский вариант рыночной формулировки, SERP преимущественно сравнительный"
"единое окно поддержки","единое окно поддержки","channel","solution_discovery","awareness","03-serp-snapshots-partial.csv","false","true","SERP преимущественно про государственные и социальные проекты или поддержку Wildberries, B2B helpdesk intent не подтверждён","true","","","","","","","","","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Отклонён общий вариант, более точные формулировки остаются на ручной проверке"
"поддержка клиентов telegram","поддержка клиентов telegram","channel","solution_discovery","awareness","03-serp-snapshots-partial.csv","false","true","SERP целиком про обращение в поддержку самого Telegram, а не про B2B-канал поддержки клиентов","true","","","","","","","","","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Отклонён общий порядок слов, исследовать конструкцию про Telegram-бота для бизнеса"
"распределение обращений","распределение обращений","operations","solution_discovery","awareness","03-serp-snapshots-partial.csv","false","true","Google SERP преимущественно про обращения граждан, Яндекс смешивает CRM и общие настройки","true","","","","","","","","","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Отклонён общий вариант, использовать уточнения про клиентов и операторов"
"хелпдеск на базе ии для клиентского сервиса","хелпдеск на базе ии для клиентского сервиса","category","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","yandex","Russia (lr=225)","2026-08-07","Формулировка из продуктовых title, проверить пересечение категории и AI"
"help desk системы для бизнеса","helpdesk системы для бизнеса","category","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Формулировка из сравнительных и образовательных title"
"платформа для управления заявками","платформа для управления заявками","category","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","yandex","Russia (lr=225)","2026-08-07","Может пересекаться с field service и внутренними заявками"
"системы автоматизации поддержки","системы автоматизации поддержки","automation","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","google_web","Russia preference (gl=ru)","2026-08-07","SERP-формулировка категории автоматизации"
"автоматизация клиентского сервиса","автоматизация клиентского сервиса","automation","solution_discovery","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Смежная рыночная лексика, шире службы поддержки"
"ии чат бот для поддержки клиентов","ии чат бот для поддержки клиентов","automation","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","false","","","","","","","","","true","yandex","Russia (lr=225)","2026-08-07","Релевантная SERP-формулировка AI-бота"
"чат бот ии для техподдержки","чат бот ии для техподдержки","automation","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Может смещаться во внутреннюю техническую поддержку"
"омниканальная чат платформа","омниканальная чат платформа","channel","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","google_web","Russia preference (gl=ru)","2026-08-07","SERP-термин канальной платформы"
"онлайн консультант для сайта","онлайн консультант для сайта","channel","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","yandex","Russia (lr=225)","2026-08-07","Преимущественно sales-chat, нужен отдельный intent review"
"распределение обращений из разных каналов","распределение обращений из разных каналов","operations","solution_discovery","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","false","","","","","","","","","true","yandex","Russia (lr=225)","2026-08-07","Уточнённая релевантная версия общего запроса"
"сервисы технической поддержки клиентов","сервисы технической поддержки клиентов","category","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","SERP часто сравнительный, проверить тип будущего контента"
"тикетная система для поддержки","тикетная система для поддержки","category","commercial_investigation","consideration","03-serp-snapshots-partial.csv:title_or_snippet","false","false","","true","","","","","","","","","true","yandex","Russia (lr=225)","2026-08-07","Рыночный термин из product snippet"
